"순번","명칭","SHAPE","위도","경도"
"12","탐방가능구간","[B@177e5d79","37.6145821","126.980954"
"13","탐방가능구간","[B@692abefb","37.6855885","127.0328939"
"14","탐방가능구간","[B@756086ad","37.6149835","126.9881147"
"15","제목 없는 경로","[B@142a040f","37.4992481","126.8788777"
"20","탐방가능구간","[B@52707f20","37.6141189","126.9853437"
"29","탐방가능구간","[B@57aa3828","37.6805743","127.0294526"
"30","탐방가능구간","[B@684cf70e","37.6125896","126.9829509"
"32","탐방가능구간","[B@14efeda1","37.6292451","127.0089257"
"33","탐방가능구간","[B@13d9efc4","37.6624379","127.0092958"
"1","탐방가능구간","[B@490c370a","37.6328206","127.0088088"
"2","탐방가능구간","[B@40f196fd","37.6611588","127.0071215"
"10","탐방가능구간","[B@34efdd5a","37.6281185","127.0085079"
"16","탐방가능구간","[B@6fad5adc","37.6209845","126.9357633"
"17","제목 없는 경로","[B@5e285acb","37.5990934","126.8970699"
"18","탐방가능구간","[B@2b60f5b8","37.6739695","127.0292704"
"19","탐방가능구간","[B@6aa41947","37.6174281","126.9360017"
"21","탐방가능구간","[B@3b77bb03","37.6271547","126.9354667"
"22","탐방가능구간","[B@3196e075","37.6097427","126.9411885"
"23","탐방가능구간","[B@286a3ac2","37.6140583","126.9694496"
"24","탐방가능구간","[B@5637ab48","37.6085621","126.9513776"
"25","탐방가능구간","[B@60ce3030","37.6099366","126.9604068"
"26","탐방가능구간","[B@bdd0f7","37.6636829","127.0214785"
"27","광나루~올림픽공원역","[B@2de20882","37.5381981","127.1360046"
"28","제목 없는 경로","[B@529ca656","37.4738506","127.0421189"
"31","탐방가능구간","[B@2a6c8279","37.6351561","127.0040963"
"35","탐방가능구간","[B@39e9ebb1","37.6843733","127.0300614"
"47","탐방가능구간","[B@2c70cf2b","37.624128","127.0101048"
"3","탐방가능구간","[B@223126d8","37.6156134","126.9947324"
"4","제목 없는 경로","[B@48ed4071","37.6079913","126.949395"
"5","탐방가능구간","[B@5021e01e","37.6153682","126.9912969"
"6","탐방가능구간","[B@6000faab","37.6451205","127.0030883"
"7","탐방가능구간","[B@604921ca","37.6179834","126.9995459"
"8","탐방가능구간","[B@61498628","37.642459","127.0016621"
"9","탐방가능구간","[B@2206ddfe","37.6093147","126.9545924"
"11","탐방가능구간","[B@70d86025","37.6170742","126.9776218"
"66","탐방가능구간","[B@d905704","37.6417154","127.0036519"
"67","탐방가능구간","[B@7f40ce90","37.6376334","127.0063894"
"68","Placemark","[B@77b99134","37.6133428","126.9843688"
"34","탐방가능구간","[B@37ec2a54","37.6626578","127.0143333"
"36","탐방가능구간","[B@71cf0d7a","37.6866424","127.0382478"
"37","탐방가능구간","[B@507dfef5","37.6751627","127.0323835"
"38","제목 없는 경로","[B@7fedb01b","37.5829493","127.0998072"
"39","보조구간","[B@4dc4fe3a","37.6744913","127.0838273"
"40","제목 없는 경로","[B@400eb9b9","37.4550975","126.9422836"
"41","탐방가능구간","[B@6c3418a","37.6334985","127.0081042"
"50","탐방가능구간","[B@7d03ce7d","37.620231","127.0061477"
"51","탐방가능구간","[B@4e9b0aa","37.6326088","126.9393804"
"52","탐방가능구간","[B@a4d6b6b","37.6089966","126.9519763"
"53","제목 없는 경로","[B@60c74315","37.6552307","127.0694274"
"58","탐방가능구간","[B@3a054956","37.6138871","126.9866779"
"59","제목 없는 경로","[B@3111cadc","37.6881247","127.0432797"
"61","탐방가능구간","[B@71d4aaf","37.6142255","126.9883224"
"63","탐방가능구간","[B@14122acf","37.6676027","127.0270891"
"64","탐방가능구간","[B@34b88654","37.6322248","127.0085743"
"71","탐방가능구간","[B@3e7b0fd6","37.6546654","127.0084132"
"74","탐방가능구간","[B@14ccaa6","37.6516539","127.0083767"
"75","탐방가능구간","[B@588c58f4","37.6428931","127.0013072"
"76","탐방가능구간","[B@66242896","37.6591567","127.0079445"
"42","탐방가능구간","[B@4fe4c43d","37.6440275","127.0028646"
"43","탐방가능구간","[B@340fa9c5","37.6257232","127.0097376"
"44","탐방가능구간","[B@7052df36","37.6823823","127.029856"
"45","탐방가능구간","[B@50bc8bd6","37.6398918","127.0062389"
"46","탐방가능구간","[B@a80b803","37.6343628","127.0064942"
"48","탐방가능구간","[B@8b0d258","37.6236857","127.0096837"
"49","탐방가능구간","[B@10c193dd","37.617529","126.9956899"
"54","탐방가능구간","[B@14d29ac3","37.6138669","126.9881939"
"55","탐방가능구간","[B@eae82e3","37.6431027","127.0017326"
"56","탐방가능구간","[B@63130c9c","37.635775","127.005692"
"57","탐방가능구간","[B@77a10894","37.6307454","127.0093257"
"60","탐방가능구간","[B@6d3a69e7","37.6352959","127.0063607"
"62","탐방가능구간","[B@15fef4b7","37.6456127","127.0028066"
"65","탐방가능구간","[B@157425a9","37.6709166","127.0264512"
"78","탐방가능구간","[B@7c54853f","37.6475511","127.0039493"
"79","올림픽공원역~수서역","[B@10f82ade","37.4945012","127.1218916"
"69","탐방가능구간","[B@14c65d86","37.6562106","127.0074299"
"70","탐방가능구간","[B@6b261311","37.6778848","127.0310896"
"72","탐방가능구간","[B@10adf80c","37.6169403","126.975317"
"73","탐방가능구간","[B@d77e462","37.649375","127.0039812"
"77","탐방가능구간","[B@3a32e4d6","37.6798056","127.0297906"